Timestamp,Eye Status,Skin Status,Model Prediction,Overall Status
2025-04-03 18:11:41,Open,Normal,Drowsy,Awake
2025-04-03 18:11:42,Open,Normal,Drowsy,Awake
2025-04-03 18:11:43,Open,Normal,Drowsy,Awake
2025-04-03 18:11:44,Open,Normal,Drowsy,Awake
2025-04-03 18:11:45,Open,Normal,Drowsy,Awake
2025-04-03 18:11:46,Open,Normal,Drowsy,Awake
2025-04-03 18:11:47,Open,Normal,Drowsy,Awake
2025-04-03 18:11:48,Open,Normal,Drowsy,Awake
2025-04-03 18:11:50,Open,Normal,Drowsy,Awake
2025-04-03 18:11:51,Open,Normal,Drowsy,Awake
2025-04-03 18:11:52,Open,Normal,Awake,Awake
2025-04-03 18:11:53,Open,Normal,Drowsy,Awake
2025-04-03 18:11:54,Open,Normal,Drowsy,Awake
2025-04-03 18:11:55,Open,Normal,Drowsy,Awake
2025-04-03 18:11:56,Open,Normal,Drowsy,Awake
2025-04-03 18:11:57,Closed,Normal,Drowsy,Awake
2025-04-03 18:11:58,Closed,Normal,Drowsy,Drowsy
2025-04-03 18:11:59,Closed,Normal,Drowsy,Drowsy
2025-04-03 18:12:00,Closed,Normal,Drowsy,Drowsy
2025-04-03 18:12:02,Open,Normal,Drowsy,Awake
2025-04-03 18:12:03,Open,Normal,Drowsy,Awake
2025-04-03 18:12:04,Closed,Normal,Drowsy,Drowsy
2025-04-03 18:12:06,Open,Normal,Drowsy,Awake
2025-04-03 18:12:08,Open,Normal,Drowsy,Awake
2025-04-03 18:12:09,Open,Normal,Drowsy,Awake
2025-04-03 18:12:10,Open,Normal,Drowsy,Awake
2025-04-03 18:12:11,Closed,Normal,Drowsy,Drowsy
2025-04-03 18:12:12,Closed,Normal,Drowsy,Drowsy
2025-04-03 18:12:13,Open,Normal,Awake,Awake
2025-04-03 18:12:14,Open,Normal,Drowsy,Awake
2025-04-03 18:12:15,Open,Normal,Drowsy,Awake
2025-04-03 18:12:16,Open,Normal,Drowsy,Awake
